vidname,GT_crash_prompt,GT_nearcrash_prompt,GT_safe_prompt
001373,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001374,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001375,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001376,[0s: Dashcam shows normal driving in rainy weather during day] [3s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving in rainy weather during day] [3s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving in rainy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001377,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001378,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001379,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001380,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001381,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001382,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001383,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001384,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001385,[0s: Dashcam shows normal driving in rainy weather during night] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving in rainy weather during night] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving in rainy weather during night] [2s: Traffic flows normally] [5s: Journey continues safely]
001386,[0s: Dashcam shows normal driving in rainy weather during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving in rainy weather during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving in rainy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001387,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001388,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001389,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001390,[0s: Dashcam shows normal driving in rainy weather during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving in rainy weather during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving in rainy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001391,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
